business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Le Regency	18 California St	San Francisco	CA	94108	37.793687	-122.396592		2240_20171020	2017-10-20	79.0	Routine - Unscheduled	2240_20171020_103157	Food safety certificate or food handler card not available	Low Risk
Cafe La Flore 1	1032 Clement St	San Francisco	CA	94118				78844_20161017	2017-10-17	85.0	Routine - Unscheduled	78844_20161017_103153	Inadequate dressing rooms or improper storage of personal items	Low Risk
Da Cafe	407 Clement St	San Francisco	CA	94118				86647_20170517	2017-05-17	72.0	Routine - Unscheduled	86647_20170517_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Wonderful Dessert & Cafe	2035 IRVING St	San Francisco	CA	94122	37.763399	-122.479654		18767_20160923	2017-09-23	88.0	Routine - Unscheduled	18767_20160923_103154	Unclean or degraded floors walls or ceilings	Low Risk
HAYES STREET GRILL	324 HAYES St	San Francisco	CA	94102	37.777048	-122.421844		3640_20170711	2017-07-11	83.0	Routine - Unscheduled	3640_20170711_103125	Noncompliance with shell fish tags or display	Moderate Risk
Little Beijing Restaurant	1316 Noriega St	San Francisco	CA	94122			+14155710365	81976_20160706	2017-07-06		Reinspection/Followup			
Ginger Elizabeth Chocolates	3108 Fillmore St	San Francisco	CA	94123			+14156831153	92042_20171109	2017-11-09		New Construction			
Tacos San Buena	16th & Shotwell St	San Francisco	CA	94102	37.779847	-122.418985	+14155556127	62277_20160429	2017-04-29	90.0	Routine - Unscheduled	62277_20160429_103148	No thermometers or uncalibrated thermometers	Low Risk
UNITED LIQUORS & DELI	2401 CHESTNUT St	San Francisco	CA	94123	37.799934	-122.442977		4555_20171128	2017-11-28	94.0	Routine - Unscheduled	4555_20171128_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Pica Pica	401 VALENCIA St	San Francisco	CA	94103	37.766394	-122.421986		62532_20161102	2017-11-02	92.0	Routine - Unscheduled	62532_20161102_103120	Moderate risk food holding temperature	Moderate Risk
EDEN PLAZA CAFE	600 HARRISON St	San Francisco	CA	94107	37.783954	-122.395699		811_20170906	2017-09-06	94.0	Routine - Unscheduled	811_20170906_103139	Improper food storage	Low Risk
BLUE DANUBE COFFEE HOUSE	306 CLEMENT St	San Francisco	CA	94118	37.783058	-122.462502		2256_20160518	2017-05-18	76.0	Routine - Unscheduled	2256_20160518_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Me So Hungry	Off The Grid	San Francisco	CA					70044_20160514	2017-05-14	87.0	Routine - Unscheduled	70044_20160514_103157	Food safety certificate or food handler card not available	Low Risk
LITTLE JOES PIZZA REST.	5006 MISSION St	San Francisco	CA	94112	37.718359	-122.439655	+14155333684	3252_20160725	2017-07-25	86.0	Routine - Unscheduled	3252_20160725_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Epicurean@SHCP	1055 Ellis St.	San Francisco	CA	94109				89072_20161018	2017-10-18		Reinspection/Followup			
The Good Chocolate	25 Leland Ave	San Francisco	CA	94134				93297_20171012	2017-10-12		New Construction			
Fresco Pizza and Grill	1338 Polk St	San Francisco	CA	94109	37.789278	-122.420387		64141_20170906	2017-09-06	90.0	Routine - Unscheduled	64141_20170906_103133	Foods not protected from contamination	Moderate Risk
Kingza	1009 Guerrero St	San Francisco	CA	94110			+14155745939	90212_20180125	2017-01-25	90.0	Routine - Unscheduled	90212_20180125_103118	Employee eating or smoking	Moderate Risk
KABABAYAN FAST FOOD	2706 MISSION St	San Francisco	CA	94110	37.753691	-122.418657	+14155929635	1249_20160216	2017-02-16	83.0	Routine - Unscheduled	1249_20160216_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
Farmers Market & Produce	986 Polk St	San Francisco	CA	94109	37.785787	-122.419644		60114_20170914	2017-09-14	92.0	Routine - Unscheduled	60114_20170914_103154	Unclean or degraded floors walls or ceilings	Low Risk
Red Dog	303 02nd St	San Francisco	CA	94107				78303_20180307	2017-03-07		Reinspection/Followup			
THE COFFEESMITH	401 Golden Gate Ave	San Francisco	CA	94102	37.781381	-122.417186		65676_20170808	2017-08-08	88.0	Routine - Unscheduled	65676_20170808_103144	Unapproved or unmaintained equipment or utensils	Low Risk
The Hamlin School	2120 BROADWAY St	San Francisco	CA	94115	37.794608	-122.432474		5938_20170315	2017-03-15	91.0	Routine - Unscheduled	5938_20170315_103145	Improper storage of equipment utensils or linens	Low Risk
CAFFE' ROMA	885 Bryant St	San Francisco	CA	94103	37.774677	-122.404222	+14155297662	2737_20170801	2017-08-01		Reinspection/Followup			
Fatted Calf SF	320 Fell St	San Francisco	CA	94102	37.775918	-122.423134	+14155405614	64351_20170920	2017-09-20		Reinspection/Followup			
Rosamunde Sausage Grill	2832 MISSION St	San Francisco	CA	94110	37.751587	-122.418444	+14155307170	61736_20180117	2017-01-17	90.0	Routine - Unscheduled	61736_20180117_103139	Improper food storage	Low Risk
Sweetheart Cafe	909 Grant Ave	San Francisco	CA	94108				76437_20160406	2017-04-06		Reinspection/Followup			
SF Food Market	4614 03rd St	San Francisco	CA	94124				84393_20170919	2017-09-19	84.0	Routine - Unscheduled	84393_20170919_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Hall of Flame Burgers	73 Cambon St	San Francisco	CA	94132			+14155584444	86172_20160719	2017-07-19	92.0	Routine - Unscheduled	86172_20160719_103139	Improper food storage	Low Risk
